Country,Localite,Category,Value,Date
Guinea,Gueckedou,Suspected cases,2,11/2/14
Guinea,Kankan,Cases,2,11/2/14
Guinea,Kankan,Confirmed cases,2,11/2/14
Guinea,Kankan,Deaths,0,11/2/14
Guinea,Kankan,New cases,0,11/2/14
Guinea,Kankan,Probable cases,0,11/2/14
Guinea,Kankan,Suspected cases,0,11/2/14
Guinea,Kerouane,Cases,97,11/2/14
Guinea,Kerouane,Confirmed cases,89,11/2/14
Guinea,Kerouane,Deaths,41,11/2/14
Guinea,Kerouane,New cases,6,11/2/14
Guinea,Kerouane,Probable cases,1,11/2/14
Guinea,Kerouane,Suspected cases,7,11/2/14
Guinea,Kindia,Cases,10,11/2/14
Guinea,Kindia,Confirmed cases,9,11/2/14
Guinea,Kindia,Deaths,2,11/2/14
Guinea,Kindia,New cases,0,11/2/14
Guinea,Kindia,Probable cases,0,11/2/14
Guinea,Kindia,Suspected cases,1,11/2/14
Guinea,Kissidougou,Cases,10,11/2/14
Guinea,Kissidougou,Confirmed cases,5,11/2/14
Guinea,Kissidougou,Deaths,9,11/2/14
Guinea,Kissidougou,New cases,0,11/2/14
Guinea,Kissidougou,Probable cases,5,11/2/14
Guinea,Kissidougou,Suspected cases,0,11/2/14
Guinea,Kouroussa,Cases,5,11/2/14
Guinea,Kouroussa,Confirmed cases,3,11/2/14
Guinea,Kouroussa,Deaths,5,11/2/14
Guinea,Kouroussa,New cases,1,11/2/14
Guinea,Kouroussa,Probable cases,2,11/2/14
Guinea,Kouroussa,Suspected cases,0,11/2/14
Guinea,Lola,Cases,15,11/2/14
Guinea,Lola,Confirmed cases,15,11/2/14
Guinea,Lola,Deaths,11,11/2/14
Guinea,Lola,New cases,0,11/2/14
Guinea,Lola,Probable cases,0,11/2/14
Guinea,Lola,Suspected cases,0,11/2/14
Guinea,Macenta,Cases,609,11/2/14
Guinea,Macenta,Confirmed cases,567,11/2/14
Guinea,Macenta,Deaths,361,11/2/14
Guinea,Macenta,New cases,14,11/2/14
Guinea,Macenta,Probable cases,19,11/2/14
Guinea,Macenta,Suspected cases,23,11/2/14
Guinea,Mamou,Cases,0,11/2/14
Guinea,Mamou,Confirmed cases,0,11/2/14
Guinea,Mamou,Deaths,0,11/2/14
Guinea,Mamou,New cases,0,11/2/14
Guinea,Mamou,Probable cases,0,11/2/14
Guinea,Mamou,Suspected cases,0,11/2/14
Guinea,National,Cases,"1,731",11/2/14
Guinea,National,Confirmed cases,"1,457",11/2/14
Guinea,National,Deaths,"1,041",11/2/14
Guinea,National,New cases,32,11/2/14
Guinea,National,Probable cases,204,11/2/14
Guinea,National,Suspected cases,70,11/2/14
Guinea,Nzerekore,Cases,150,11/2/14
Guinea,Nzerekore,Confirmed cases,101,11/2/14
Guinea,Nzerekore,Deaths,98,11/2/14
Guinea,Nzerekore,New cases,5,11/2/14
Guinea,Nzerekore,Probable cases,38,11/2/14
Guinea,Nzerekore,Suspected cases,11,11/2/14
Guinea,Pita,Cases,8,11/2/14
Guinea,Pita,Confirmed cases,7,11/2/14
Guinea,Pita,Deaths,4,11/2/14
Guinea,Pita,New cases,0,11/2/14
Guinea,Pita,Probable cases,1,11/2/14
Guinea,Pita,Suspected cases,0,11/2/14
Guinea,Siguiri,Cases,11,11/2/14
Guinea,Siguiri,Confirmed cases,9,11/2/14
Guinea,Siguiri,Deaths,5,11/2/14
Guinea,Siguiri,New cases,0,11/2/14
Guinea,Siguiri,Probable cases,0,11/2/14
Guinea,Siguiri,Suspected cases,2,11/2/14
Guinea,Telimele,Cases,26,11/2/14
Guinea,Telimele,Confirmed cases,23,11/2/14
Guinea,Telimele,Deaths,10,11/2/14
Guinea,Telimele,New cases,0,11/2/14
Guinea,Telimele,Probable cases,3,11/2/14
Guinea,Telimele,Suspected cases,0,11/2/14
Guinea,Yomou,Cases,11,11/2/14
Guinea,Yomou,Confirmed cases,11,11/2/14
Guinea,Yomou,Deaths,6,11/2/14
Guinea,Yomou,New cases,0,11/2/14
Guinea,Yomou,Probable cases,0,11/2/14
Guinea,Yomou,Suspected cases,0,11/2/14
Guinea,Beyla,Cases,16,11/3/14
Guinea,Beyla,Confirmed cases,16,11/3/14
Guinea,Beyla,Deaths,13,11/3/14
Guinea,Beyla,New cases,0,11/3/14
Guinea,Beyla,Probable cases,0,11/3/14
Guinea,Beyla,Suspected cases,0,11/3/14
Guinea,Boffa,Cases,26,11/3/14
Guinea,Boffa,Confirmed cases,19,11/3/14
Guinea,Boffa,Deaths,16,11/3/14
Guinea,Boffa,New cases,0,11/3/14
Guinea,Boffa,Probable cases,5,11/3/14
Guinea,Boffa,Suspected cases,2,11/3/14
Guinea,Boke,Cases,1,11/3/14
Guinea,Boke,Confirmed cases,1,11/3/14
Guinea,Boke,Deaths,0,11/3/14
Guinea,Boke,New cases,0,11/3/14
Guinea,Boke,Probable cases,0,11/3/14
Guinea,Boke,Suspected cases,0,11/3/14
Guinea,Conakry,Cases,255,11/3/14
Guinea,Conakry,Confirmed cases,228,11/3/14
Guinea,Conakry,Deaths,102,11/3/14
Guinea,Conakry,New cases,3,11/3/14
Guinea,Conakry,Probable cases,12,11/3/14
Guinea,Conakry,Suspected cases,15,11/3/14
Guinea,Coyah,Cases,59,11/3/14
Guinea,Coyah,Confirmed cases,55,11/3/14
Guinea,Coyah,Deaths,24,11/3/14
Guinea,Coyah,New cases,3,11/3/14
Guinea,Coyah,Probable cases,0,11/3/14
Guinea,Coyah,Suspected cases,4,11/3/14
Guinea,Dabola,Cases,5,11/3/14
Guinea,Dabola,Confirmed cases,2,11/3/14
Guinea,Dabola,Deaths,5,11/3/14
Guinea,Dabola,New cases,0,11/3/14
Guinea,Dabola,Probable cases,3,11/3/14
Guinea,Dabola,Suspected cases,0,11/3/14
Guinea,Dalaba,Cases,11,11/3/14
Guinea,Dalaba,Confirmed cases,9,11/3/14
Guinea,Dalaba,Deaths,2,11/3/14
Guinea,Dalaba,New cases,0,11/3/14
Guinea,Dalaba,Probable cases,0,11/3/14
Guinea,Dalaba,Suspected cases,2,11/3/14
Guinea,Dinguiraye,Cases,1,11/3/14
Guinea,Dinguiraye,Confirmed cases,0,11/3/14
Guinea,Dinguiraye,Deaths,1,11/3/14
Guinea,Dinguiraye,New cases,0,11/3/14
Guinea,Dinguiraye,Probable cases,1,11/3/14
Guinea,Dinguiraye,Suspected cases,0,11/3/14
Guinea,Dubreka,Cases,22,11/3/14
Guinea,Dubreka,Confirmed cases,22,11/3/14
Guinea,Dubreka,Deaths,8,11/3/14
Guinea,Dubreka,New cases,0,11/3/14
Guinea,Dubreka,Probable cases,0,11/3/14
Guinea,Dubreka,Suspected cases,0,11/3/14
Guinea,Faranah,Cases,1,11/3/14
Guinea,Faranah,Confirmed cases,1,11/3/14
Guinea,Faranah,Deaths,1,11/3/14
Guinea,Faranah,New cases,0,11/3/14
Guinea,Faranah,Probable cases,0,11/3/14
Guinea,Faranah,Suspected cases,0,11/3/14
Guinea,For残ariah,Cases,18,11/3/14
Guinea,For残ariah,Confirmed cases,15,11/3/14
Guinea,For残ariah,Deaths,13,11/3/14
Guinea,For残ariah,New cases,0,11/3/14
Guinea,For残ariah,Probable cases,2,11/3/14
Guinea,For残ariah,Suspected cases,1,11/3/14
Guinea,Gueckedou,Cases,370,11/3/14
Guinea,Gueckedou,Confirmed cases,253,11/3/14
Guinea,Gueckedou,Deaths,306,11/3/14
Guinea,Gueckedou,New cases,3,11/3/14
Guinea,Gueckedou,Probable cases,112,11/3/14
Guinea,Gueckedou,Suspected cases,5,11/3/14
Guinea,Kankan,Cases,2,11/3/14
Guinea,Kankan,Confirmed cases,2,11/3/14
Guinea,Kankan,Deaths,0,11/3/14
Guinea,Kankan,New cases,0,11/3/14
Guinea,Kankan,Probable cases,0,11/3/14
Guinea,Kankan,Suspected cases,0,11/3/14
Guinea,Kerouane,Cases,96,11/3/14
Guinea,Kerouane,Confirmed cases,91,11/3/14
Guinea,Kerouane,Deaths,42,11/3/14
Guinea,Kerouane,New cases,3,11/3/14
Guinea,Kerouane,Probable cases,1,11/3/14
Guinea,Kerouane,Suspected cases,4,11/3/14
Guinea,Kindia,Cases,11,11/3/14
Guinea,Kindia,Confirmed cases,9,11/3/14
Guinea,Kindia,Deaths,2,11/3/14
Guinea,Kindia,New cases,0,11/3/14
Guinea,Kindia,Probable cases,0,11/3/14
Guinea,Kindia,Suspected cases,2,11/3/14
Guinea,Kissidougou,Cases,10,11/3/14
Guinea,Kissidougou,Confirmed cases,5,11/3/14
Guinea,Kissidougou,Deaths,9,11/3/14
Guinea,Kissidougou,New cases,0,11/3/14
Guinea,Kissidougou,Probable cases,5,11/3/14
Guinea,Kissidougou,Suspected cases,0,11/3/14
Guinea,Kouroussa,Cases,5,11/3/14
Guinea,Kouroussa,Confirmed cases,3,11/3/14
Guinea,Kouroussa,Deaths,5,11/3/14
Guinea,Kouroussa,New cases,0,11/3/14
Guinea,Kouroussa,Probable cases,2,11/3/14
Guinea,Kouroussa,Suspected cases,0,11/3/14
Guinea,Lola,Cases,15,11/3/14
Guinea,Lola,Confirmed cases,15,11/3/14
Guinea,Lola,Deaths,11,11/3/14
Guinea,Lola,New cases,0,11/3/14
Guinea,Lola,Probable cases,0,11/3/14
Guinea,Lola,Suspected cases,0,11/3/14
Guinea,Macenta,Cases,618,11/3/14
Guinea,Macenta,Confirmed cases,577,11/3/14
Guinea,Macenta,Deaths,370,11/3/14
Guinea,Macenta,New cases,10,11/3/14
Guinea,Macenta,Probable cases,19,11/3/14
Guinea,Macenta,Suspected cases,22,11/3/14
Guinea,Mamou,Cases,0,11/3/14
Guinea,Mamou,Confirmed cases,0,11/3/14
Guinea,Mamou,Deaths,0,11/3/14
